            n, insertion_cmp, insertion_swaps, insertion_time,     quick_cmp,   quick_swaps,    quick_time,      heap_cmp,    heap_swaps,     heap_time,     merge_cmp,   merge_swaps,    merge_time
3753,      27072562,       2977214,            11,     186573351,      12647421,            73,     394255402,      77229140,           188,     287812633,      39842350,           130
3754,      27087062,       2978835,            11,     186678009,      12654124,            73,     394478786,      77272951,           189,     287974127,      39865012,           124
3755,      27101565,       2980456,            11,     186782927,      12660918,            75,     394702237,      77316775,           187,     288135685,      39887694,           124
3756,      27116071,       2982077,            11,     186887849,      12667702,            72,     394925782,      77360620,           192,     288297305,      39910396,           125
3757,      27130580,       2983698,            11,     186992723,      12674486,            74,     395149365,      77404470,           187,     288458956,      39933092,           126
3758,      27145092,       2985319,            11,     187097432,      12681224,            73,     395373044,      77448342,           190,     288620646,      39955798,           125
3759,      27159609,       2986941,            11,     187202347,      12688017,            74,     395596780,      77492225,           186,     288782389,      39978510,           127
3760,      27174129,       2988563,            11,     187307352,      12694791,            73,     395820576,      77536118,           186,     288944175,      40001212,           126
3761,      27188652,       2990185,            11,     187412368,      12701561,            78,     396044442,      77580026,           186,     289105990,      40023909,           126
3762,      27203178,       2991807,            12,     187517265,      12708309,            74,     396268347,      77623939,           192,     289267873,      40046631,           130
3763,      27217707,       2993429,            11,     187622208,      12715038,            76,     396492344,      77667873,           197,     289429794,      40069362,           129
3764,      27232239,       2995051,            11,     187727086,      12721738,            72,     396716410,      77711820,           188,     289591787,      40092104,           126
3765,      27246774,       2996673,            11,     187832031,      12728445,            72,     396940546,      77755782,           186,     289753820,      40114849,           138
3766,      27261312,       2998295,            11,     187937029,      12735254,            73,     397164737,      77799754,           188,     289915903,      40137606,           124
3767,      27275853,       2999917,            13,     188041984,      12741922,            74,     397388981,      77843735,           188,     290078015,      40160368,           126
3768,      27290401,       3001541,            12,     188147021,      12748568,            76,     397613299,      77887730,           187,     290240204,      40183136,           129
3769,      27304952,       3003165,            12,     188252300,      12755351,            78,     397837647,      77931729,           194,     290402432,      40205902,           128
3770,      27319506,       3004789,            12,     188357575,      12762127,            75,     398062070,      77975743,           200,     290564714,      40228703,           128
3771,      27334063,       3006413,            12,     188463115,      12768876,            73,     398286554,      78019769,           189,     290727010,      40251489,           124
3772,      27348625,       3008038,            12,     188568180,      12775599,            73,     398511107,      78063810,           187,     290889359,      40274272,           131
3773,      27363192,       3009664,            12,     188673384,      12782276,            74,     398735723,      78107866,           188,     291051787,      40297075,           126
3774,      27377762,       3011290,            12,     188778394,      12788920,            72,     398960422,      78151935,           188,     291214237,      40319886,           125
3775,      27392335,       3012916,            12,     188883753,      12795692,            74,     399185207,      78196025,           194,     291376740,      40342702,           125
3776,      27406911,       3014542,            12,     188989058,      12802417,            72,     399410018,      78240115,           187,     291539291,      40365519,           125
3777,      27421490,       3016168,            12,     189094399,      12809134,            87,     399634896,      78284219,           190,     291701886,      40388342,           125
3778,      27436072,       3017794,            12,     189199851,      12815894,            73,     399859877,      78328345,           188,     291864583,      40411201,           125
3779,      27450657,       3019420,            11,     189305279,      12822635,            73,     400084913,      78372483,           188,     292027307,      40434069,           133
3780,      27465249,       3021048,            13,     189410721,      12829412,            73,     400309997,      78416629,           188,     292190031,      40456899,           129
3781,      27479846,       3022677,            13,     189516238,      12836193,            77,     400535150,      78460790,           195,     292352810,      40479743,           132
3782,      27494448,       3024307,            12,     189621699,      12842878,            76,     400760355,      78504960,           202,     292515658,      40502621,           134
3783,      27509053,       3025937,            12,     189727301,      12849624,            77,     400985666,      78549153,           194,     292678560,      40525511,           131
3784,      27523661,       3027567,            12,     189832975,      12856366,            75,     401211013,      78593346,           207,     292841465,      40548376,           139
3785,      27538272,       3029197,            12,     189938722,      12863168,            76,     401436447,      78637562,           195,     293004416,      40571240,           135
3786,      27552886,       3030827,            12,     190044497,      12870016,            76,     401661928,      78681785,           226,     293167458,      40594144,           142
3787,      27567503,       3032457,            12,     190150329,      12876774,            77,     401887483,      78726026,           198,     293330534,      40617047,           130
3788,      27582123,       3034087,            12,     190256184,      12883526,            76,     402113091,      78770276,           196,     293493687,      40639990,           136
3789,      27596746,       3035717,            12,     190362040,      12890262,            77,     402338780,      78814542,           198,     293656870,      40662915,           129
3790,      27611372,       3037347,            12,     190467808,      12896989,            75,     402564534,      78858821,           196,     293820099,      40685848,           131
3791,      27626001,       3038977,            12,     190573789,      12903731,            76,     402790362,      78903114,           200,     293983385,      40708804,           131
3792,      27640635,       3040608,            12,     190679914,      12910495,            74,     403016243,      78947419,           196,     294146652,      40731702,           131
3793,      27655276,       3042241,            12,     190786006,      12917357,            78,     403242135,      78991721,           201,     294309970,      40754611,           132
3794,      27669924,       3043876,            12,     190892278,      12924223,            75,     403468127,      79036047,           189,     294473370,      40777554,           129
3795,      27684575,       3045511,            12,     190998580,      12931058,            73,     403694180,      79080382,           213,     294636816,      40800491,           131
3796,      27699229,       3047146,            12,     191104793,      12937889,            74,     403920333,      79124738,           189,     294800322,      40823468,           126
3797,      27713886,       3048781,            12,     191210824,      12944636,            76,     404146551,      79169110,           198,     294963860,      40846437,           126
3798,      27728546,       3050416,            12,     191317093,      12951413,            79,     404372833,      79213492,           191,     295127437,      40869411,           127
3799,      27743211,       3052052,            12,     191423392,      12958227,            74,     404599165,      79257884,           188,     295291055,      40892388,           125
3800,      27757883,       3053690,            12,     191529703,      12965051,            73,     404825565,      79302289,           197,     295454768,      40915381,           127
3801,      27772562,       3055330,            12,     191635905,      12971848,            75,     405052009,      79346701,           191,     295618552,      40938391,           126
3802,      27787244,       3056970,            12,     191742288,      12978704,            72,     405278551,      79391134,           189,     295782372,      40961411,           135
3803,      27801929,       3058610,            12,     191848610,      12985532,            75,     405505115,      79435569,           188,     295946231,      40984426,           125
3804,      27816617,       3060250,            12,     191954806,      12992298,            73,     405731790,      79480029,           189,     296110088,      41007439,           138
3805,      27831312,       3061892,            12,     192061193,      12999142,            80,     405958502,      79524493,           183,     296274019,      41030469,           127
3806,      27846010,       3063534,            12,     192167624,      13005993,            75,     406185284,      79568970,           188,     296438025,      41053515,           127
3807,      27860711,       3065176,            12,     192274101,      13012817,            76,     406412128,      79613462,           192,     296602102,      41076598,           129
3808,      27875417,       3066819,            12,     192380613,      13019652,            73,     406639041,      79657968,           193,     296766233,      41099675,           131
3809,      27890126,       3068462,            12,     192487229,      13026478,            77,     406866024,      79702489,           195,     296930402,      41122755,           136
3810,      27904838,       3070105,            13,     192593668,      13033311,            77,     407093061,      79747017,           196,     297094601,      41145834,           132
3811,      27919553,       3071748,            13,     192700185,      13040147,            79,     407320140,      79791553,           194,     297258819,      41168905,           132
3812,      27934271,       3073391,            13,     192806663,      13046962,            80,     407547327,      79836113,           195,     297423144,      41192021,           129
3813,      27948992,       3075034,            12,     192913266,      13053780,            74,     407774588,      79880691,           189,     297587536,      41215148,           126
3814,      27963716,       3076677,            12,     193019799,      13060599,            74,     408001895,      79925276,           191,     297751964,      41238285,           125
3815,      27978445,       3078321,            12,     193126464,      13067428,            76,     408229259,      79969871,           193,     297916439,      41261418,           131
3816,      27993177,       3079965,            12,     193233185,      13074232,            78,     408456699,      80014480,           199,     298080898,      41284536,           150
3817,      28007912,       3081609,            12,     193339945,      13081075,            77,     408684209,      80059104,           184,     298245419,      41307665,           127
3818,      28022650,       3083253,            12,     193446733,      13087980,            73,     408911780,      80103739,           188,     298410034,      41330825,           154
3819,      28037391,       3084897,            12,     193553548,      13094829,            80,     409139435,      80148392,           187,     298574659,      41353976,           125
3820,      28052135,       3086541,            12,     193660331,      13101684,            74,     409367112,      80193047,           187,     298739380,      41377153,           130
3821,      28066882,       3088185,            12,     193767325,      13108548,            76,     409594811,      80237703,           193,     298904123,      41400328,           127
3822,      28081632,       3089829,            12,     193874208,      13115431,            75,     409822624,      80282384,           188,     299068920,      41423502,           126
3823,      28096385,       3091473,            12,     193981217,      13122295,            75,     410050533,      80327087,           187,     299233750,      41446677,           128
3824,      28111141,       3093117,            12,     194088200,      13129144,            74,     410278517,      80371805,           188,     299398621,      41469867,           128
3825,      28125906,       3094764,            12,     194195438,      13136032,            76,     410506523,      80416525,           193,     299563556,      41493071,           125
3826,      28140674,       3096411,            12,     194302617,      13142923,            80,     410734615,      80461264,           189,     299728560,      41516288,           127
3827,      28155445,       3098058,            12,     194409698,      13149803,            76,     410962788,      80506018,           188,     299893591,      41539502,           125
3828,      28170219,       3099705,            12,     194516731,      13156662,           100,     411191002,      80550780,           192,     300058733,      41562768,           128
3829,      28184996,       3101352,            12,     194623764,      13163508,            75,     411419301,      80595560,           188,     300223893,      41586030,           126
3830,      28199776,       3102999,            12,     194730848,      13170332,            75,     411647647,      80640348,           189,     300389128,      41609286,           132
3831,      28214559,       3104646,            12,     194837889,      13177154,            76,     411876063,      80685148,           188,     300554353,      41632541,           126
3832,      28229345,       3106293,            12,     194944900,      13183955,            75,     412104532,      80729958,           187,     300719636,      41655788,           127
3833,      28244134,       3107940,            12,     195052124,      13190819,            78,     412333083,      80774786,           192,     300884950,      41679042,           126
