            n, insertion_cmp, insertion_swaps, insertion_time,     quick_cmp,   quick_swaps,    quick_time,      heap_cmp,    heap_swaps,     heap_time,     merge_cmp,   merge_swaps,    merge_time
8733,  110590267191,   55237984006,         14157,    1884758808,     171925264,           654,    2258590706,     438829599,           849,    2080211253,     424066821,           958
8734,  110628325906,   55257000269,         18354,    1885202895,     171966401,           543,    2259138931,     438936294,           623,    2080712521,     424170213,           753
8735,  110666394838,   55276021639,         13241,    1885657757,     172007189,           495,    2259687078,     439042939,           590,    2081213920,     424273614,           708
8736,  110704464351,   55295043298,         12963,    1886100099,     172048270,           539,    2260235736,     439149710,           609,    2081715437,     424377094,           708
8737,  110742545335,   55314070691,         14437,    1886556560,     172088885,           726,    2260784216,     439256456,           888,    2082217030,     424480590,          1002
8738,  110780641702,   55333105774,         15992,    1887016032,     172129571,           491,    2261332903,     439363235,           606,    2082718509,     424584000,           746
8739,  110818748898,   55352146270,         13656,    1887477416,     172170690,           529,    2261881550,     439470004,           621,    2083220035,     424687419,           743
8740,  110856858143,   55371187789,         13692,    1887937359,     172211415,           522,    2262430369,     439576829,           625,    2083721798,     424790914,           735
8741,  110894981547,   55390236386,         13721,    1888401200,     172252197,           522,    2262979023,     439683591,           622,    2084223654,     424894424,           746
8742,  110933121772,   55409293392,         13596,    1888852429,     172293099,           509,    2263527979,     439790425,           622,    2084725593,     424997975,           730
8743,  110971277120,   55428357958,         13534,    1889310531,     172333880,           525,    2264076942,     439897256,           614,    2085227535,     425101512,           729
8744,  111009438287,   55447425432,         13695,    1889766107,     172374953,           515,    2264626170,     440004160,           659,    2085729558,     425205055,           744
8745,  111047603345,   55466494850,         13705,    1890221094,     172416163,           524,    2265175183,     440111003,           620,    2086231672,     425308623,           728
8746,  111085782444,   55485571287,         13858,    1890682133,     172456782,           548,    2265724392,     440217891,           710,    2086733835,     425412217,           740
8747,  111123964686,   55504649294,         14100,    1891133909,     172497706,           512,    2266273756,     440324818,           645,    2087235938,     425515770,           746
8748,  111162151069,   55523729370,         14254,    1891583481,     172538783,           525,    2266822880,     440431666,           677,    2087738150,     425619326,           900
