"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.075466792E0,-3.236270142E-1,9.802964630E0,-1.284329224E-1,9.809145987E0
1.085496792E0,-3.246748352E-1,9.810149689E0,-1.227447510E-1,9.816288348E0
1.095526792E0,-3.245251465E-1,9.801617432E0,-1.038839722E-1,9.807538566E0
1.105557792E0,-3.273692322E-1,9.806108093E0,-1.092727661E-1,9.812179528E0
1.115587792E0,-3.222798157E-1,9.805209961E0,-1.136137390E-1,9.811162762E0
1.125617792E0,-3.252735901E-1,9.802216187E0,-1.219963074E-1,9.808370312E0
1.135647792E0,-3.243754578E-1,9.794881439E0,-1.245410156E-1,9.801042409E0
1.145677792E0,-3.192860413E-1,9.796378326E0,-1.327738953E-1,9.802479319E0
1.155707792E0,-3.149450684E-1,9.800868988E0,-1.345701599E-1,9.806851301E0
1.165737792E0,-3.227288818E-1,9.812993774E0,-1.507365417E-1,9.819456311E0
1.175767792E0,-3.121009827E-1,9.817035370E0,-1.531315613E-1,9.823188879E0
1.185797792E0,-3.155438232E-1,9.811646576E0,-1.318757629E-1,9.817604986E0
1.195827792E0,-3.116519165E-1,9.794282684E0,-1.172062683E-1,9.799940690E0
1.205857792E0,-3.095562744E-1,9.786648560E0,-1.005908203E-1,9.792059724E0
1.215887792E0,-3.085084534E-1,9.794432373E0,-1.058299255E-1,9.799861374E0
1.225917792E0,-3.165916443E-1,9.791588287E0,-1.076261902E-1,9.797296303E0
1.235947042E0,-3.146456909E-1,9.804311829E0,-1.221459961E-1,9.810119876E0
1.245977042E0,-3.109034729E-1,9.816286926E0,-1.393601990E-1,9.822197883E0
1.256007042E0,-3.171903992E-1,9.817334747E0,-1.440005493E-1,9.823512989E0
1.266037042E0,-3.185375977E-1,9.800868988E0,-1.468446350E-1,9.807143441E0
1.276067042E0,-3.098556519E-1,9.793983307E0,-1.398092651E-1,9.799880926E0
1.286097042E0,-3.177891541E-1,9.794132996E0,-1.326242065E-1,9.800184706E0
1.296127042E0,-3.147953796E-1,9.794432373E0,-1.107696533E-1,9.800115895E0
1.306157042E0,-3.213816833E-1,9.800120544E0,-1.133143616E-1,9.806043495E0
1.316187042E0,-3.302133179E-1,9.806257782E0,-1.270857239E-1,9.812638957E0
1.326217042E0,-3.243754578E-1,9.810000000E0,-1.408570862E-1,9.816372047E0
1.336247042E0,-3.279679871E-1,9.806407471E0,-1.477427673E-1,9.813002517E0
1.346277042E0,-3.234773254E-1,9.795929260E0,-1.519340515E-1,9.802446205E0
1.356308042E0,-3.360511780E-1,9.794132996E0,-1.480421448E-1,9.801014642E0
1.366338042E0,-3.173400879E-1,9.794432373E0,-1.440005493E-1,9.800629898E0
1.376368042E0,-3.149450684E-1,9.798024902E0,-1.258882141E-1,9.803893626E0
1.386398042E0,-3.215313721E-1,9.811945953E0,-1.128652954E-1,9.817861498E0
1.396428042E0,-3.179388428E-1,9.824220428E0,-9.565109253E-2,9.829829158E0
1.406458042E0,-3.171903992E-1,9.813592529E0,-9.101074219E-2,9.819139017E0
1.416488042E0,-3.182382202E-1,9.806557159E0,-1.136137390E-1,9.812377233E0
1.426518042E0,-2.983296204E-1,9.802216187E0,-1.272354126E-1,9.807580312E0
1.436548042E0,-2.938389587E-1,9.794881439E0,-1.422042847E-1,9.800319678E0
1.446578042E0,-2.983296204E-1,9.793833618E0,-1.540296936E-1,9.799586861E0
