"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.534172917E-1,9.759704590E-2,7.274871826E-2,9.851613464E0,9.852365473E0
9.634462917E-1,9.744735718E-2,7.155120850E-2,9.853858795E0,9.854600383E0
9.734752917E-1,8.307723999E-2,7.424560547E-2,9.856403503E0,9.857033238E0
9.835052917E-1,7.738906860E-2,7.379653931E-2,9.854158173E0,9.854738367E0
9.935342917E-1,6.930587769E-2,8.143066406E-2,9.833501129E0,9.834082505E0
1.003563292E0,6.646179199E-2,8.711883545E-2,9.823621674E0,9.824232777E0
1.013593292E0,7.140151978E-2,7.858657837E-2,9.844278717E0,9.844851319E0
1.023622292E0,6.885681152E-2,8.217910767E-2,9.845925293E0,9.846509003E0
1.033651292E0,7.828720093E-2,8.128097534E-2,9.843679962E0,9.844326827E0
1.043681292E0,7.634124756E-2,8.217910767E-2,9.837393036E0,9.838032483E0
1.053710292E0,8.607101440E-2,8.681945801E-2,9.850865021E0,9.851623597E0
1.063739292E0,9.340576172E-2,7.634124756E-2,9.855205994E0,9.855944288E0
1.073769292E0,8.876541138E-2,6.825805664E-2,9.848170624E0,9.848807192E0
1.083798292E0,9.490264893E-2,6.840774536E-2,9.854008484E0,9.854702904E0
1.093827292E0,9.265731812E-2,6.586303711E-2,9.849817200E0,9.850473196E0
1.103856292E0,8.427474976E-2,8.098159790E-2,9.838590546E0,9.839284739E0
1.113886292E0,8.187973022E-2,7.514373779E-2,9.837692413E0,9.838320125E0
1.123915292E0,7.768844604E-2,7.738906860E-2,9.841135254E0,9.841746169E0
1.133944292E0,7.259902954E-2,7.903564453E-2,9.852361908E0,9.852946383E0
1.143974292E0,8.472381592E-2,7.274871826E-2,9.830657043E0,9.831291289E0
1.154003292E0,7.918533325E-2,8.277786255E-2,9.836644592E0,9.837311590E0
1.164032292E0,7.948471069E-2,7.843688965E-2,9.836943970E0,9.837577793E0
1.174062292E0,8.053253174E-2,7.589218140E-2,9.852960663E0,9.853582036E0
1.184091292E0,9.175918579E-2,8.083190918E-2,9.854307861E0,9.855066564E0
1.194120292E0,8.861572266E-2,8.083190918E-2,9.845775604E0,9.846506172E0
1.204150292E0,9.355545044E-2,8.457412720E-2,9.859397278E0,9.860203856E0
1.214179292E0,9.580078125E-2,7.798782349E-2,9.855954437E0,9.856728553E0
1.224208292E0,8.622070312E-2,8.472381592E-2,9.843679962E0,9.844422143E0
1.234238292E0,7.978408813E-2,7.469467163E-2,9.836943970E0,9.837551091E0
1.244267292E0,8.666976929E-2,7.619155884E-2,9.851763153E0,9.852438989E0
1.254296292E0,7.574249268E-2,7.409591675E-2,9.849368134E0,9.849938059E0
1.264326292E0,7.155120850E-2,7.005432129E-2,9.833052063E0,9.833561921E0
1.274355292E0,6.691085815E-2,7.035369873E-2,9.846973114E0,9.847451762E0
1.284384292E0,6.511459351E-2,7.798782349E-2,9.833800507E0,9.834325316E0
1.294414292E0,7.738906860E-2,7.694000244E-2,9.844428406E0,9.845033239E0
1.304443292E0,7.723937988E-2,7.229965210E-2,9.851463776E0,9.852031856E0
1.314472292E0,8.756790161E-2,7.634124756E-2,9.838141479E0,9.838827364E0
1.324501292E0,9.086105347E-2,7.454498291E-2,9.851014709E0,9.851715764E0
1.334531292E0,8.607101440E-2,7.664062500E-2,9.849966888E0,9.850641081E0
1.344559583E0,8.637039185E-2,7.574249268E-2,9.850266266E0,9.850936112E0
1.354588583E0,8.906478882E-2,7.933502197E-2,9.838440857E0,9.839163840E0
1.364618583E0,8.397537231E-2,8.442443848E-2,9.843530273E0,9.844250484E0
1.374647583E0,7.783813477E-2,7.559280396E-2,9.837842102E0,9.838440439E0
1.384676583E0,8.053253174E-2,7.484436035E-2,9.835297394E0,9.835911854E0
1.394706583E0,6.646179199E-2,8.173004150E-2,9.833950195E0,9.834514396E0
1.404735583E0,7.679031372E-2,7.409591675E-2,9.842332764E0,9.842911215E0
1.414764583E0,7.229965210E-2,8.187973022E-2,9.844727783E0,9.845333750E0
1.424794583E0,7.828720093E-2,8.053253174E-2,9.835297394E0,9.835938654E0
